household_ID,month,consumption
ID1255,2024-06-30,206
ID3534,2022-10-31,132
ID0141,2023-05-31,105
ID0155,2023-03-31,141
ID3497,2024-06-30,58
ID0719,2024-03-31,275
ID1141,2024-07-31,138
ID3415,2023-02-28,104
ID3095,2022-10-31,106
ID0887,2023-01-31,193
ID0038,2022-11-30,127
ID0331,2022-11-30,233
ID0771,2023-02-28,107
ID2321,2023-05-31,86
ID2856,2024-10-31,154
ID2603,2023-03-31,61
ID0530,2023-11-30,118
ID0109,2024-04-30,0
ID2164,2024-06-30,64
ID1652,2023-05-31,70
ID1822,2024-08-31,131
ID3238,2024-10-31,149
ID0709,2023-05-31,161
ID2184,2023-02-28,156
ID2193,2023-03-31,145
ID3847,2023-05-31,143
ID1019,2024-05-31,116
ID3076,2024-01-31,125
ID2654,2024-02-29,114
ID3712,2024-02-29,116
ID2585,2024-10-31,108
ID2108,2024-09-30,154
ID2212,2023-09-30,115
ID2428,2023-11-30,97
ID2154,2024-04-30,17
ID0822,2024-10-31,319
ID2711,2024-07-31,65
ID2577,2023-05-31,150
ID3361,2023-06-30,228
ID0620,2022-12-31,108
ID0723,2024-08-31,84
ID0312,2023-03-31,42
ID0797,2024-07-31,8
ID3538,2023-11-30,124
ID2075,2024-04-30,22
ID3341,2023-08-31,516
ID3698,2024-06-30,83
ID1086,2023-10-31,
ID3806,2022-12-31,567
ID1162,2023-11-30,7
ID2443,2022-12-31,86
ID2689,2023-09-30,86
ID0040,2023-12-31,76
ID1115,2022-11-30,5
ID1960,2024-08-31,100
ID1083,2024-03-31,102
ID2442,2022-12-31,74
ID0073,2024-04-30,33
ID2338,2024-05-31,208
ID1372,2024-03-31,42
ID1181,2024-07-31,12
ID3770,2024-09-30,189
ID0990,2023-01-31,65
ID2729,2024-02-29,31
ID4031,2023-12-31,57
ID0300,2022-10-31,63
ID3917,2022-10-31,180
ID0366,2024-02-29,99
ID1425,2022-11-30,139
ID4019,2024-04-30,61
ID1977,2022-11-30,88
ID0905,2024-04-30,102
ID2497,2023-05-31,126
ID0126,2024-08-31,22
ID0740,2024-07-31,22
ID3320,2024-04-30,115
ID2835,2023-01-31,139
ID0637,2023-09-30,122
ID1077,2023-06-30,104
ID3995,2022-11-30,64
ID0132,2024-03-31,29
ID2268,2024-07-31,82
ID1260,2023-05-31,0
ID3099,2023-09-30,20
ID0505,2024-04-30,154
ID3120,2023-02-28,106
ID1092,2024-06-30,129
ID2936,2023-11-30,246
ID1179,2024-04-30,44
ID1987,2023-02-28,135
ID0177,2023-09-30,508
ID3346,2023-06-30,60
ID1476,2023-08-31,42
ID2320,2023-12-31,49
ID0643,2024-04-30,94
ID1143,2024-03-31,90
ID0916,2024-06-30,266
ID3512,2023-11-30,107
ID3357,2024-05-31,54
ID0041,2024-04-30,110
ID2877,2024-05-31,122
ID1465,2023-06-30,119
ID2039,2023-06-30,1
ID0009,2024-08-31,37
ID0977,2024-06-30,112
ID0811,2023-11-30,116
ID0654,2024-02-29,182
ID0282,2023-02-28,169
ID3546,2022-10-31,0
ID0181,2023-09-30,136
ID2628,2023-09-30,242
ID3514,2022-12-31,37
ID3902,2022-10-31,80
ID3872,2022-10-31,42
ID1126,2023-12-31,270
ID1934,2023-04-30,92
ID0103,2023-04-30,257
ID0258,2023-02-28,131
ID0958,2024-05-31,141
ID3781,2023-04-30,165
ID1061,2022-10-31,18
ID4030,2024-01-31,44
ID1800,2023-05-31,81
ID3503,2024-04-30,117
ID1887,2024-05-31,141
ID3231,2023-03-31,103
ID3613,2023-02-28,155
ID3140,2024-02-29,52
ID1970,2023-04-30,133
ID3852,2023-02-28,86
ID2609,2023-05-31,372
ID0459,2022-11-30,69
ID1546,2023-03-31,110
ID0967,2023-03-31,68
ID3560,2023-10-31,18
ID1423,2023-03-31,123
ID2666,2024-03-31,97
ID3626,2023-05-31,55
ID0558,2023-06-30,350
ID1112,2023-06-30,36
ID1875,2023-06-30,169
ID0163,2024-01-31,130
ID0863,2023-07-31,76
ID2618,2023-11-30,91
ID2508,2023-05-31,82
ID0678,2023-09-30,103
ID0526,2022-11-30,96
ID3890,2024-10-31,111
ID2562,2023-05-31,48
ID0757,2023-04-30,25
ID1830,2024-06-30,96
ID2282,2023-03-31,28
ID0050,2023-08-31,166
ID3877,2024-10-31,87
ID1181,2024-08-31,22
ID1253,2024-03-31,178
ID3987,2024-07-31,137
ID1211,2023-01-31,131
ID1581,2023-03-31,260
ID1034,2023-10-31,101
ID2049,2022-11-30,115
ID0004,2024-06-30,228
ID1138,2024-02-29,113
ID0104,2023-05-31,271
ID0496,2024-04-30,74
ID3590,2023-12-31,58
ID0025,2022-11-30,101
ID4060,2024-06-30,23
ID0271,2023-10-31,40
ID0188,2024-02-29,66
ID1783,2022-11-30,0
ID3923,2023-04-30,78
ID2088,2022-11-30,0
ID2797,2024-02-29,72
ID1382,2022-10-31,133
ID0090,2023-04-30,61
ID1392,2023-12-31,219
ID0449,2022-10-31,45
ID0300,2024-10-31,0
ID1873,2022-10-31,135
ID3293,2023-10-31,246
ID3733,2024-05-31,578
ID3719,2023-03-31,44
ID3024,2022-11-30,158
ID0787,2023-10-31,62
ID0849,2024-03-31,180
ID2141,2023-09-30,240
ID1920,2023-11-30,113
ID0783,2024-07-31,0
ID1393,2023-05-31,113
ID1381,2023-11-30,190
ID2478,2023-11-30,0
ID0170,2024-03-31,38
ID3025,2023-08-31,
ID3746,2023-12-31,34
ID3392,2024-08-31,48
ID0658,2022-11-30,81
ID3060,2024-09-30,75
ID0755,2023-06-30,22
ID2510,2024-10-31,87
ID2009,2023-03-31,103
ID3250,2023-05-31,636
ID2435,2023-03-31,54
ID2152,2023-12-31,134
ID3140,2024-05-31,36
ID3049,2023-03-31,43
ID1419,2022-12-31,25
ID1383,2022-12-31,69
ID3678,2023-12-31,58
ID0889,2024-07-31,35
ID0740,2024-05-31,13
ID3208,2023-10-31,61
ID1209,2023-03-31,44
ID3188,2024-06-30,97
ID1383,2024-05-31,120
ID3417,2023-08-31,66
ID2476,2023-08-31,85
ID1256,2024-03-31,197
ID3544,2024-05-31,307
ID1477,2024-07-31,73
ID0842,2024-02-29,32
ID0867,2023-12-31,125
ID1017,2024-07-31,130
ID2610,2023-08-31,188
ID1577,2024-07-31,20
ID1308,2023-03-31,54
ID2005,2024-07-31,17
ID3062,2022-12-31,156
ID0101,2024-01-31,140
ID2262,2023-08-31,297
ID0388,2024-08-31,170
ID3120,2024-03-31,105
ID0762,2023-10-31,134
ID0926,2022-12-31,0
ID2955,2024-09-30,163
ID1059,2023-06-30,111
ID1402,2024-04-30,87
ID3957,2023-05-31,105
ID1524,2024-04-30,139
ID1032,2023-04-30,72
ID1944,2023-02-28,69
ID2810,2022-11-30,303
ID0806,2023-11-30,285
ID4039,2022-12-31,85
ID1621,2024-01-31,299
ID0252,2023-11-30,21
ID3093,2024-07-31,35
ID3485,2022-10-31,148
ID3305,2023-11-30,86
ID0362,2024-04-30,48
ID3283,2024-01-31,112
ID3997,2023-11-30,60
ID2558,2024-07-31,108
ID1918,2024-10-31,112
ID1111,2024-09-30,312
ID0231,2023-11-30,186
ID0919,2022-10-31,119
ID0961,2024-01-31,141
ID3926,2024-04-30,298
ID0534,2024-05-31,75
ID3928,2024-03-31,116
ID3135,2024-04-30,63
ID3764,2023-12-31,0
ID0210,2024-09-30,301
ID1945,2023-09-30,357
ID3792,2023-01-31,240
ID1352,2024-07-31,73
ID0595,2023-06-30,133
ID2439,2023-02-28,252
ID0255,2023-07-31,421
ID2427,2024-01-31,107
ID3140,2022-11-30,30
ID3263,2023-09-30,202
ID1470,2023-05-31,150
ID0226,2024-06-30,133
ID3222,2022-11-30,118
ID2908,2024-06-30,4
ID1674,2023-01-31,75
ID2132,2024-01-31,135
ID2160,2024-10-31,75
ID3824,2024-08-31,
ID3553,2023-11-30,73
ID1535,2024-06-30,176
ID3113,2024-10-31,269
ID1256,2023-06-30,153
ID3984,2023-12-31,142
ID2968,2023-08-31,85
ID2552,2024-04-30,166
ID0628,2024-05-31,93
ID3318,2023-06-30,0
ID3488,2023-12-31,207
ID3736,2024-10-31,363
ID3755,2023-06-30,135
ID0527,2023-06-30,76
ID2332,2023-03-31,156
ID3932,2024-09-30,151
ID1357,2024-03-31,182
ID1122,2024-07-31,52
ID3539,2023-06-30,0
ID1299,2023-08-31,95
ID2054,2023-06-30,146
ID0334,2024-05-31,
ID2450,2023-03-31,250
ID3789,2024-07-31,213
ID2658,2023-10-31,25
ID0558,2023-11-30,250
ID1555,2023-06-30,105
ID1131,2023-04-30,140
ID1932,2023-01-31,55
ID1675,2023-11-30,68
ID3039,2022-10-31,177
ID0325,2024-05-31,122
ID0129,2023-09-30,134
ID2485,2024-10-31,98
ID3623,2023-05-31,229
ID3740,2024-02-29,90
ID2281,2023-04-30,79
ID3485,2022-12-31,161
ID2017,2023-03-31,438
ID2284,2024-01-31,62
ID2093,2023-03-31,29
ID2937,2024-09-30,110
ID3093,2024-06-30,37
ID3432,2022-10-31,184
ID4015,2024-08-31,29
ID1396,2024-02-29,47
ID2782,2024-07-31,44
ID1806,2024-09-30,58
ID0706,2023-08-31,129
ID3532,2024-08-31,152
ID3225,2024-06-30,58
ID2029,2023-12-31,79
ID3057,2024-04-30,58
ID1993,2023-12-31,230
ID0526,2024-04-30,87
ID2489,2023-05-31,61
ID1965,2024-04-30,328
ID3426,2024-06-30,51
ID0684,2024-10-31,191
ID2348,2024-01-31,106
ID0493,2024-06-30,55
ID0098,2022-12-31,90
ID3829,2022-11-30,123
ID2932,2024-07-31,3
ID2270,2023-09-30,
ID2919,2023-03-31,215
ID0435,2023-02-28,64
ID1277,2023-07-31,196
ID1215,2023-10-31,79
ID2278,2023-05-31,243
ID2352,2022-12-31,38
ID0763,2023-03-31,79
ID1919,2023-09-30,84
ID3105,2024-07-31,122
ID0413,2023-05-31,15
ID2345,2023-02-28,50
ID2326,2023-10-31,23
ID3854,2024-04-30,89
ID3627,2024-06-30,0
ID2864,2024-01-31,46
ID3923,2024-06-30,84
ID3877,2022-10-31,0
ID1303,2024-05-31,64
ID3989,2023-02-28,151
ID3838,2024-04-30,118
ID2889,2024-09-30,26
ID3443,2022-10-31,98
ID2815,2024-10-31,200
ID1682,2023-04-30,86
ID1785,2023-01-31,85
ID2649,2023-08-31,130
ID3253,2024-06-30,277
ID1790,2023-07-31,314
ID0046,2024-02-29,127
ID0783,2023-07-31,0
ID1543,2023-12-31,72
ID3632,2024-03-31,386
ID2971,2024-04-30,50
ID0424,2024-06-30,110
ID2900,2023-04-30,121
ID3671,2024-09-30,86
ID2393,2023-06-30,72
ID3815,2023-08-31,145
ID0872,2022-11-30,90
ID2372,2023-06-30,224
ID2690,2024-06-30,117
ID3704,2024-01-31,82
ID3271,2023-12-31,110
ID1105,2023-05-31,78
ID2798,2022-12-31,146
ID3831,2024-08-31,114
ID0196,2024-07-31,99
ID0715,2023-01-31,193
ID3331,2023-07-31,95
ID2977,2023-07-31,141
ID0823,2024-05-31,176
ID1844,2024-02-29,77
ID0324,2023-05-31,35
ID1926,2023-11-30,166
ID1620,2023-12-31,270
ID0319,2023-03-31,112
ID0423,2024-06-30,20
ID1298,2024-05-31,140
ID3067,2024-04-30,97
ID2342,2023-06-30,191
ID3272,2024-04-30,160
ID0090,2023-05-31,81
ID1699,2024-10-31,25
ID2813,2022-12-31,146
ID0617,2024-06-30,127
ID0673,2024-03-31,39
ID1566,2023-12-31,0
ID3499,2024-09-30,104
ID3450,2024-10-31,190
ID1185,2024-06-30,73
ID0674,2023-04-30,67
ID0115,2024-03-31,319
ID3806,2024-05-31,872
ID0167,2024-04-30,0
ID2952,2024-07-31,83
ID3163,2024-05-31,264
ID0558,2024-06-30,373
ID3363,2023-02-28,73
ID0263,2022-12-31,21
ID2032,2024-03-31,119
ID0895,2022-10-31,150
ID3296,2023-03-31,102
ID1165,2024-01-31,827
ID2074,2023-07-31,36
ID3089,2023-08-31,127
ID1412,2023-09-30,85
ID4004,2023-07-31,42
ID1939,2023-05-31,24
ID1135,2023-10-31,54
ID2743,2024-02-29,17
ID2675,2023-07-31,87
ID3076,2023-03-31,118
ID0975,2023-07-31,1458
ID0865,2023-10-31,183
ID0656,2024-05-31,24
ID2444,2024-04-30,7
ID4002,2023-03-31,59
ID3609,2023-05-31,29
ID3458,2024-10-31,61
ID0860,2024-06-30,101
ID0436,2023-04-30,70
ID2447,2023-07-31,8
ID3440,2023-10-31,74
ID2169,2023-10-31,99
ID2350,2024-09-30,270
ID2081,2022-12-31,74
ID2916,2024-02-29,150
ID0771,2023-01-31,112
ID2132,2023-08-31,0
ID2336,2024-04-30,31
ID0419,2022-12-31,33
ID2390,2024-08-31,62
ID3348,2024-07-31,158
ID0792,2024-03-31,162
ID3333,2024-07-31,57
ID3218,2023-11-30,104
ID3110,2024-05-31,123
ID3303,2023-12-31,12
ID0337,2023-12-31,94
ID1721,2023-10-31,212
ID2698,2022-12-31,95
ID0305,2024-02-29,82
ID2989,2023-04-30,33
ID2527,2022-11-30,83
ID2734,2023-03-31,75
ID3706,2023-02-28,77
ID1302,2024-01-31,107
ID3993,2024-05-31,86
ID1533,2024-03-31,86
ID1860,2023-06-30,114
ID0491,2024-03-31,95
ID3132,2024-05-31,84
ID3412,2024-06-30,108
ID2638,2024-07-31,59
ID1635,2024-02-29,47
ID0652,2023-09-30,78
ID3915,2023-02-28,59
ID3556,2024-09-30,83
ID1901,2023-12-31,94
ID0085,2024-07-31,115
ID1485,2023-02-28,70
ID2667,2023-06-30,49
ID0490,2024-02-29,106
ID1819,2023-06-30,104
ID2640,2024-03-31,67
ID1729,2023-02-28,137
ID2070,2024-09-30,100
ID2420,2024-02-29,490
ID3192,2023-01-31,726
ID1298,2024-01-31,95
ID2971,2024-09-30,53
ID1208,2023-10-31,276
ID3999,2024-02-29,33
ID0105,2024-01-31,181
ID2276,2022-12-31,113
ID1077,2024-01-31,83
ID0662,2023-10-31,109
ID1554,2023-06-30,24
ID3542,2024-08-31,110
ID2006,2024-09-30,33
ID0797,2023-09-30,67
ID2467,2023-12-31,124
ID3567,2024-07-31,26
ID0311,2023-08-31,115
ID1743,2023-07-31,763
ID0524,2024-01-31,250
ID1230,2023-01-31,135
ID1664,2024-06-30,114
ID0950,2024-08-31,64
ID2270,2023-02-28,522
ID0891,2023-03-31,0
ID2060,2022-11-30,134
ID3966,2023-11-30,60
ID2094,2023-05-31,81
ID0183,2024-05-31,28
ID2174,2023-08-31,109
ID1325,2023-02-28,64
ID0044,2024-01-31,33
ID1505,2023-02-28,45
ID0806,2023-08-31,260
ID0200,2024-09-30,91
ID0513,2023-09-30,27
ID1963,2024-07-31,1
ID1084,2024-09-30,109
ID1061,2024-09-30,112
ID4027,2024-09-30,62
ID2757,2023-12-31,59
ID0131,2024-05-31,61
ID0997,2023-07-31,74
ID0620,2024-07-31,92
ID2312,2023-08-31,403
ID0634,2023-11-30,97
ID1071,2024-03-31,220
ID2601,2024-07-31,100
ID1195,2023-09-30,30
ID2359,2024-02-29,170
ID0469,2024-09-30,158
ID3931,2024-07-31,34
ID1836,2023-05-31,13
ID3599,2023-03-31,45
ID0369,2023-01-31,21
ID0158,2024-03-31,22
ID1074,2023-03-31,146
ID0401,2023-07-31,95
ID2584,2023-11-30,176
ID2024,2024-08-31,6
ID2388,2024-02-29,143
ID4006,2022-10-31,78
ID0088,2023-06-30,169
ID0728,2023-01-31,162
ID2683,2023-11-30,125
ID2421,2024-01-31,110
ID0531,2023-06-30,165
ID3969,2024-10-31,131
ID0328,2023-08-31,12
ID2633,2024-04-30,97
ID3684,2023-08-31,128
ID3961,2024-02-29,48
ID1789,2022-12-31,101
ID1070,2024-09-30,80
ID0864,2023-01-31,45
ID0706,2023-11-30,121
ID1185,2024-05-31,61
ID3175,2024-07-31,333
ID2190,2024-02-29,26
ID0811,2023-09-30,140
ID1083,2024-05-31,134
ID1030,2024-03-31,142
ID1033,2024-01-31,57
ID1337,2024-09-30,99
ID2461,2024-09-30,103
ID0921,2024-10-31,0
ID3351,2023-10-31,176
ID1080,2022-12-31,97
ID2855,2023-09-30,154
ID3250,2024-02-29,583
ID1644,2024-07-31,84
ID1440,2023-11-30,48
ID0211,2024-02-29,94
ID3684,2023-05-31,128
ID1136,2024-03-31,87
ID3625,2022-11-30,204
ID1783,2024-03-31,0
ID3800,2024-10-31,76
ID3343,2024-09-30,105
ID2334,2024-05-31,99
ID3158,2023-10-31,19
ID1282,2023-05-31,524
ID2238,2024-08-31,
ID2155,2023-01-31,120
ID3706,2024-03-31,83
ID1948,2022-11-30,79
ID1036,2024-07-31,88
ID3883,2023-07-31,59
ID0006,2023-01-31,111
ID2878,2022-11-30,77
ID1742,2024-10-31,191
ID2831,2023-10-31,84
ID2847,2023-10-31,93
ID1126,2024-05-31,260
ID0397,2024-06-30,187
ID1935,2023-05-31,60
ID3744,2022-11-30,82
ID1873,2023-08-31,143
ID3872,2024-03-31,37
ID0437,2023-01-31,53
ID1589,2024-09-30,113
ID0586,2024-10-31,162
ID2366,2024-07-31,74
ID0747,2023-10-31,151
ID2873,2023-07-31,85
ID3166,2022-10-31,80
ID2404,2023-03-31,67
ID2431,2024-03-31,144
ID0201,2023-11-30,174
ID1673,2024-08-31,33
ID3086,2023-06-30,215
ID3026,2023-06-30,133
ID2643,2023-07-31,82
ID3244,2023-08-31,93
ID3424,2023-12-31,107
ID1808,2024-05-31,38
ID2692,2023-03-31,37
ID3967,2023-10-31,18
ID3634,2023-11-30,75
ID0070,2024-05-31,102
ID2462,2024-07-31,257
ID2217,2024-09-30,477
ID0364,2023-10-31,92
ID1113,2024-01-31,76
ID2192,2023-06-30,27
ID2450,2022-12-31,224
ID1456,2024-04-30,66
ID1501,2023-11-30,2
ID1272,2024-09-30,623
ID3409,2023-02-28,37
ID3227,2024-05-31,68
ID3416,2024-05-31,120
ID1235,2024-03-31,93
ID0843,2024-06-30,382
ID1503,2024-04-30,56
ID0689,2024-03-31,69
ID0565,2023-10-31,186
ID0357,2024-09-30,218
ID1157,2023-11-30,60
ID3878,2023-12-31,64
ID0758,2023-06-30,92
ID2555,2023-03-31,92
ID2949,2022-10-31,168
ID0766,2024-01-31,112
ID2327,2024-10-31,63
ID3449,2024-06-30,12
ID0741,2024-02-29,641
ID1985,2024-04-30,69
ID1821,2024-01-31,250
ID4059,2022-11-30,121
ID1526,2023-05-31,77
ID2572,2023-05-31,63
ID1374,2023-11-30,133
ID3796,2022-12-31,103
ID2977,2023-03-31,125
ID2640,2024-09-30,78
ID3018,2024-04-30,282
ID1162,2023-07-31,21
ID1861,2023-08-31,69
ID3401,2023-03-31,81
ID1068,2022-12-31,67
ID1435,2024-08-31,90
ID2253,2023-09-30,63
ID1297,2024-03-31,48
ID3559,2023-07-31,167
ID1769,2023-01-31,77
ID3808,2023-06-30,67
ID1955,2024-05-31,193
ID1295,2024-01-31,71
ID2596,2023-02-28,158
ID0051,2024-08-31,77
ID2260,2023-10-31,83
ID3349,2024-10-31,107
ID1574,2023-02-28,130
ID0388,2023-05-31,189
ID3221,2023-10-31,125
ID0068,2024-07-31,195
ID0881,2024-03-31,93
ID4041,2023-02-28,99
ID3249,2022-12-31,121
ID0737,2024-02-29,56
ID0893,2024-07-31,168
ID0813,2023-04-30,251
ID2723,2024-08-31,102
ID3688,2023-02-28,24
ID0590,2022-11-30,130
ID3450,2023-02-28,178
ID2083,2024-01-31,139
ID2125,2024-08-31,0
ID1815,2023-05-31,11
ID2303,2024-04-30,59
ID1894,2023-08-31,54
ID2803,2024-10-31,90
ID1762,2023-05-31,338
ID3070,2023-08-31,264
ID0532,2023-12-31,63
ID1820,2024-02-29,200
ID2799,2022-12-31,135
ID2878,2022-10-31,77
ID0290,2024-07-31,75
ID0097,2023-04-30,125
ID1917,2022-10-31,70
ID3933,2023-06-30,125
ID2155,2023-06-30,123
ID1467,2023-01-31,14
ID2087,2023-04-30,6
ID1940,2024-03-31,22
ID3536,2023-02-28,24
ID2720,2024-09-30,19
ID3174,2024-09-30,36
ID2715,2023-09-30,102
ID0264,2024-04-30,514
ID3351,2024-06-30,172
ID2287,2024-04-30,53
ID3887,2024-04-30,21
ID0626,2023-05-31,0
ID1651,2023-03-31,118
ID2147,2023-07-31,234
ID3841,2023-02-28,97
ID2759,2024-06-30,432
ID1385,2024-02-29,145
ID0730,2023-06-30,0
ID2618,2024-06-30,94
ID1658,2023-01-31,372
ID0352,2023-03-31,80
ID0162,2022-11-30,63
ID3573,2024-07-31,76
ID2888,2023-03-31,102
ID1469,2023-01-31,103
ID3758,2023-09-30,63
ID2944,2023-10-31,110
ID2028,2022-10-31,95
ID1654,2023-09-30,95
ID3629,2023-12-31,161
ID0177,2024-03-31,371
ID0926,2023-10-31,0
ID2594,2022-11-30,206
ID3766,2023-04-30,148
ID2666,2023-12-31,92
ID3371,2024-02-29,181
ID1637,2023-02-28,73
ID0253,2023-10-31,0
ID2357,2023-01-31,113
ID0225,2023-08-31,165
ID0629,2024-06-30,55
ID0461,2023-05-31,109
ID2695,2022-11-30,86
ID1703,2022-10-31,116
ID3947,2024-03-31,169
ID4030,2023-06-30,61
ID3600,2023-04-30,239
ID3009,2024-09-30,223
ID0355,2023-12-31,92
ID0402,2023-01-31,79
ID0449,2023-07-31,53
ID3027,2023-02-28,60
ID3114,2023-01-31,52
ID0696,2023-08-31,175
ID1968,2024-05-31,103
ID1303,2023-11-30,11
ID3918,2022-11-30,125
ID3752,2024-05-31,159
ID1663,2023-06-30,192
ID0928,2023-12-31,79
ID3288,2023-06-30,201
ID0266,2023-06-30,95
ID2398,2024-03-31,223
ID0812,2024-02-29,18
ID2335,2022-11-30,267
ID3377,2024-09-30,53
ID2563,2023-11-30,54
ID2445,2024-09-30,13
ID3709,2024-05-31,14
ID3317,2023-03-31,8
ID1036,2023-05-31,96
ID1052,2023-09-30,95
ID0553,2023-09-30,11
ID1479,2023-02-28,69
ID1400,2023-06-30,582
ID3014,2024-10-31,262
ID2630,2024-01-31,127
ID4006,2023-04-30,64
ID0266,2023-09-30,88
ID1403,2022-12-31,10
ID1265,2023-08-31,136
ID0084,2022-12-31,171
ID1487,2023-08-31,0
ID3264,2024-01-31,17
ID1475,2023-06-30,104
ID2755,2023-01-31,94
ID1934,2023-06-30,93
ID3400,2023-09-30,105
ID0250,2024-08-31,258
ID0624,2023-01-31,153
ID0188,2024-01-31,79
ID3549,2023-08-31,95
ID1425,2022-12-31,135
ID2349,2023-08-31,87
ID0812,2023-08-31,69
ID3968,2022-11-30,139
ID0221,2024-05-31,188
ID0541,2024-10-31,165
ID1237,2024-08-31,179
ID0228,2023-11-30,
ID2841,2023-04-30,79
ID0335,2024-01-31,109
ID4063,2022-10-31,220
ID2525,2022-10-31,79
ID3183,2023-10-31,105
ID0427,2023-08-31,120
ID2414,2024-08-31,113
ID2224,2023-12-31,42
ID1790,2022-12-31,229
ID3406,2024-05-31,97
ID2354,2023-04-30,117
ID3592,2023-01-31,63
ID0037,2024-07-31,48
ID2868,2023-08-31,139
ID0764,2023-05-31,151
ID3102,2024-04-30,45
ID0763,2024-07-31,102
ID1416,2023-02-28,42
ID3046,2024-05-31,172
ID1700,2023-05-31,188
ID1821,2023-12-31,249
ID2905,2023-12-31,61
ID1907,2024-03-31,89
ID3639,2023-05-31,67
ID3292,2024-01-31,5
ID3055,2024-05-31,17
ID3174,2023-11-30,38
ID0438,2022-12-31,67
ID3840,2023-07-31,55
ID0827,2023-05-31,106
ID3204,2024-07-31,88
